EMBEDDING_MODEL,SIMILARITY_METRIC,DATASET,d1 ids without match,top_1_recall,top_1_precision,top_2_recall,top_2_precision,top_3_recall,top_3_precision,top_4_recall,top_4_precision,top_5_recall,top_5_precision,use_task,EMBEDDINGS_GENERATION_TIME
llmrails/ember-v1,cosine,D10,2619,0.38396243453133466,0.4987683284457478,0.4027903196676901,0.2807818204708548,0.40762145566191077,0.2012258999219882,0.4088856781650713,0.15947592716514633,0.4099692974534947,0.13389763024788756,False,2.63 hours
llmrails/ember-v1,cosine,D10,2619,0.38396243453133466,0.4987683284457478,0.4027903196676901,0.2807818204708548,0.40762145566191077,0.2012258999219882,0.4088856781650713,0.15947592716514633,0.4099692974534947,0.13389763024788756,False,2.63 hours
dunzhang/stella_en_1.5B_v5,cosine,D10,2619,0.3918186743724038,0.5089736070381232,0.40468665342243093,0.28210373914138237,0.40744085244717354,0.20113674356402542,0.4093371862019144,0.1596520269080407,0.4102402022756005,0.13398610885818354,False,5.19 hours
dunzhang/stella_en_1.5B_v5,cosine,D10,2619,0.3918186743724038,0.5089736070381232,0.40468665342243093,0.28210373914138237,0.40744085244717354,0.20113674356402542,0.4093371862019144,0.1596520269080407,0.4102402022756005,0.13398610885818354,False,5.19 hours
BAAI/bge-en-icl,cosine,D10,2619,0.3877551020408163,0.5036950146627566,0.40333212931190177,0.28115951151957697,0.4075763048582265,0.2012036108324975,0.40915658298717716,0.15958158701088296,0.4098789958461261,0.1338681373777889,False,94.81 hours
BAAI/bge-en-icl,cosine,D10,2619,0.3877551020408163,0.5036950146627566,0.40333212931190177,0.28115951151957697,0.4075763048582265,0.2012036108324975,0.40915658298717716,0.15958158701088296,0.4098789958461261,0.1338681373777889,False,94.81 hours
BAAI/bge-m3,cosine,D10,2619,0.3786797905002709,0.49190615835777124,0.4008939859129492,0.2794599018003273,0.40599602672927576,0.2004234927003232,0.40884052736138704,0.1594583171908569,0.4099692974534947,0.13389763024788756,False,5.66 hours
BAAI/bge-m3,cosine,D10,2619,0.3786797905002709,0.49190615835777124,0.4008939859129492,0.2794599018003273,0.40599602672927576,0.2004234927003232,0.40884052736138704,0.1594583171908569,0.4099692974534947,0.13389763024788756,False,5.66 hours
sentence-transformers/all-MiniLM-L12-v2,cosine,D10,2619,0.33063933538016976,0.4295014662756598,0.3738486545060502,0.26060682361828025,0.3913671663355608,0.19320182770533822,0.40030702546505326,0.15613003205015322,0.4043705977966408,0.13206907230177103,False,29.70 minutes
sentence-transformers/all-MiniLM-L12-v2,cosine,D10,2619,0.33063933538016976,0.4295014662756598,0.3738486545060502,0.26060682361828025,0.3913671663355608,0.19320182770533822,0.40030702546505326,0.15613003205015322,0.4043705977966408,0.13206907230177103,False,29.70 minutes
sentence-transformers/all-MiniLM-L6-v2,cosine,D10,2619,0.33962434531334657,0.4411730205278592,0.38066642586238036,0.26535943598136724,0.39687556438504606,0.19592109662320295,0.40324182770453315,0.15727468037896664,0.40653783637348745,0.13277690118413873,False,59.27 minutes
sentence-transformers/all-MiniLM-L6-v2,euclidian,D10,2619,0.33962434531334657,0.4411730205278592,0.38066642586238036,0.26535943598136724,0.39687556438504606,0.19592109662320295,0.40324182770453315,0.15727468037896664,0.40653783637348745,0.13277690118413873,False,59.27 minutes
