Model,Prompt Type,Run ID,Started At,Ended At,Total Hours,Accuracy,Precision,Recall,F1
phi3.5:3.8b-mini-instruct-q8_0,MATCHING_PROMPT,FINAL_MATCHING_PROMPT_phi3.5:3.8b-mini-instruct-q8_0_2024-11-21,2024-11-21 19:57:15.246799,2024-11-21 23:58:32.898659,4.016666666666667,61.6822429906542,62.36220472440945,77.41935483870968,69.07980811164414
phi3.5:3.8b-mini-instruct-q8_0,MATCHING_PROMPT,FINAL_MATCHING_PROMPT_ONLY_phi3.5:3.8b-mini-instruct-q8_0_2024-11-22,2024-11-22 16:05:07.137658,2024-11-22 19:38:08.525541,3.55,62.75917065390749,63.416599516518936,76.85546875,69.49227373068433
gemma2:9b-instruct-q5_K_M,MATCHING_PROMPT,FINAL_MATCHING_PROMPT_gemma2:9b-instruct-q5_K_M_2024-11-23,2024-11-23 14:07:46.414995,2024-11-23 16:04:31.607453,1.95,78.08764940239044,78.84151246983106,93.95973154362416,85.7392825896763
gemma2:9b-instruct-q5_K_M,MATCHING_PROMPT,FINAL_MATCHING_PROMPT_ONLY_gemma2:9b-instruct-q5_K_M_2024-11-24,2024-11-24 14:13:50.633928,2024-11-24 14:55:13.991626,0.7,76.44787644787645,77.52545027407987,94.37559580552907,85.12467755803955
qwen2.5:14b,MATCHING_PROMPT,FINAL_MATCHING_PROMPT_ONLY_qwen2.5:14b_2024-11-28,2024-11-28 22:36:20.102325,2024-11-28 23:23:31.241507,0.7833333333333333,95.1974386339381,95.8109559613319,84.38978240302744,89.738430583501
qwen2.5:14b,MATCHING_PROMPT,FINAL_MATCHING_PROMPT_qwen2.5:14b_2024-11-26,2024-11-26 11:56:45.262005,2024-11-26 18:34:13.136589,6.633333333333334,92.95065458207452,93.51570415400202,87.57115749525617,90.44585987261146
phi3.5:3.8b-mini-instruct-q8_0,SELECTING_PROMPT,FINAL_SELECTING_PROMPT_phi3.5:3.8b-mini-instruct-q8_0_2024-12-05,2024-12-05 00:36:27.842902,2024-12-05 05:04:06.779318,4.466666666666667,87.35919899874844,88.57868020304569,71.66324435318275,79.22814982973894
qwen2.5:14b,SELECTING_PROMPT,FINAL_SELECTING_PROMPT_qwen2.5:14b_2024-12-05,2024-12-05 19:08:37.221564,2024-12-05 20:12:18.749501,1.0666666666666667,98.23008849557522,98.88641425389754,84.25047438330171,90.98360655737704
gemma2:9b-instruct-q5_K_M,SELECTING_PROMPT,FINAL_SELECTING_PROMPT_gemma2:9b-instruct-q5_K_M_2024-12-05,2024-12-05 20:51:40.286639,2024-12-05 22:16:34.011654,1.4166666666666667,96.48946840521565,97.56592292089249,92.5,94.9654491609082
