Model,Prompt Type,Run ID,Started At,Ended At,Total Hours,Accuracy,Precision,Recall,F1
falcon3:10b-instruct-q8_0,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_ONLY_falcon3:10b-instruct-q8_0_2024-12-20,2024-12-20 09:45:00.260237,2024-12-20 10:43:45.521532,0.9666666666666667,68.69782971619365,84.49691991786447,78.60553963705826,81.44482929242949
phi4:14b,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_ONLY_phi4:14b_2025-01-25,2025-01-25 15:02:19.774170,2025-01-25 20:21:21.923045,5.316666666666666,77.69607843137256,84.68388245770258,90.39923954372624,87.44827586206897
phi4:14b,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_phi4:14b_2025-01-23,2025-01-23 18:48:37.734528,2025-01-24 06:27:37.935300,11.65,76.4367816091954,84.94525547445255,88.41405508072174,86.64495114006515
phi3.5:3.8b-mini-instruct-q8_0,MATCHING_PROMPT,FINAL_MATCHING_PROMPT_ONLY_phi3.5:3.8b-mini-instruct-q8_0_2024-11-22,2024-11-22 16:05:07.137658,2024-11-22 19:38:08.525541,3.55,53.24763193504736,63.416599516518936,76.85546875,69.49227373068433
phi3.5:3.8b-mini-instruct-q8_0,MATCHING_PROMPT,FINAL_MATCHING_PROMPT_phi3.5:3.8b-mini-instruct-q8_0_2024-11-21,2024-11-21 19:57:15.246799,2024-11-21 23:58:32.898659,4.016666666666667,52.76482345103265,62.36220472440945,77.41935483870968,69.07980811164414
gemma2:9b-instruct-q5_K_M,MATCHING_PROMPT,FINAL_MATCHING_PROMPT_ONLY_gemma2:9b-instruct-q5_K_M_2024-11-24,2024-11-24 14:13:50.633928,2024-11-24 14:55:13.991626,0.7,74.10179640718563,77.52545027407987,94.37559580552907,85.12467755803955
gemma2:9b-instruct-q5_K_M,MATCHING_PROMPT,FINAL_MATCHING_PROMPT_gemma2:9b-instruct-q5_K_M_2024-11-23,2024-11-23 14:07:46.414995,2024-11-23 16:04:31.607453,1.95,75.03828483920367,78.84151246983106,93.95973154362416,85.7392825896763
qwen2.5:14b,MATCHING_PROMPT,FINAL_MATCHING_PROMPT_ONLY_qwen2.5:14b_2024-11-28,2024-11-28 22:36:20.102325,2024-11-28 23:23:31.241507,0.7833333333333333,81.38686131386861,95.8109559613319,84.38978240302744,89.738430583501
qwen2.5:14b,MATCHING_PROMPT,FINAL_MATCHING_PROMPT_qwen2.5:14b_2024-11-26,2024-11-26 11:56:45.262005,2024-11-26 18:34:13.136589,6.633333333333334,82.55813953488372,93.51570415400202,87.57115749525617,90.44585987261146
falcon3:10b-instruct-q8_0,SELECTING_PROMPT,8192_max_SELECTING_PROMPT_falcon3:10b-instruct-q8_0_2024-12-22,2024-12-22 13:02:04.733716,2024-12-22 14:16:17.913505,1.2333333333333334,75.37593984962406,95.47619047619048,78.16764132553607,85.95927116827438
phi3.5:3.8b-mini-instruct-q8_0,SELECTING_PROMPT,FINAL_SELECTING_PROMPT_phi3.5:3.8b-mini-instruct-q8_0_2024-12-04,2024-12-04 21:12:03.185604,2024-12-05 00:36:00.411303,3.4,36.65413533834587,88.43537414965986,38.4995064165844,53.64511691884457
qwen2.5:14b,SELECTING_PROMPT,FINAL_SELECTING_PROMPT_qwen2.5:14b_2024-12-05,2024-12-05 19:08:37.221564,2024-12-05 20:12:18.749501,1.0666666666666667,83.45864661654136,98.88641425389754,84.25047438330171,90.98360655737704
gemma2:9b-instruct-q5_K_M,SELECTING_PROMPT,FINAL_SELECTING_PROMPT_gemma2:9b-instruct-q5_K_M_2024-12-05,2024-12-05 20:51:40.286639,2024-12-05 22:16:34.011654,1.4166666666666667,90.41353383458647,97.56592292089249,92.5,94.9654491609082
phi4:14b,SELECTING_PROMPT,8192_max_SELECTING_PROMPT_phi4:14b_2025-04-17,2025-04-17 12:24:03.912252,2025-04-18 07:04:56.761250,18.666666666666668,86.93609022556392,98.40425531914893,88.17921830314586,93.01156359979889
