EMBEDDING_MODEL,SIMILARITY_METRIC,DATASET,d1 ids without match,top_1_recall,top_1_precision,top_1_f1,top_2_recall,top_2_precision,top_2_f1,top_3_recall,top_3_precision,top_3_f1,top_4_recall,top_4_precision,top_4_f1,top_5_recall,top_5_precision,top_5_f1,use_task,EMBEDDINGS_GENERATION_TIME
sentence-transformers/all-MiniLM-L12-v2,cosine,D10,2619,0.33063933538016976,0.4295014662756598,0.37364151232205733,0.3738486545060502,0.26060682361828025,0.30712166172106825,0.3913671663355608,0.19320182770533822,0.2586960738961097,0.40030702546505326,0.15613003205015322,0.22464337294448528,0.4043705977966408,0.13206907230177103,0.19910850257333731,False,29.70 minutes
sentence-transformers/all-MiniLM-L12-v2,euclidian,D10,2619,0.33063933538016976,0.4295014662756598,0.37364151232205733,0.3738486545060502,0.26060682361828025,0.30712166172106825,0.3913671663355608,0.19320182770533822,0.2586960738961097,0.40030702546505326,0.15613003205015322,0.22464337294448528,0.4043705977966408,0.13206907230177103,0.19910850257333731,False,29.70 minutes
sentence-transformers/all-MiniLM-L6-v2,cosine,D10,2619,0.33962434531334657,0.4411730205278592,0.3837950915863054,0.38066642586238036,0.26535943598136724,0.31272255192878345,0.39687556438504606,0.19592109662320295,0.262337158461791,0.40324182770453315,0.15727468037896664,0.22629031849393166,0.40653783637348745,0.13277690118413873,0.20017563166260938,False,59.27 minutes
sentence-transformers/all-MiniLM-L6-v2,euclidian,D10,2619,0.33962434531334657,0.4411730205278592,0.3837950915863054,0.38066642586238036,0.26535943598136724,0.31272255192878345,0.39687556438504606,0.19592109662320295,0.262337158461791,0.40324182770453315,0.15727468037896664,0.22629031849393166,0.40653783637348745,0.13277690118413873,0.20017563166260938,False,59.27 minutes
Alibaba-NLP/gte-Qwen2-7B-instruct,cosine,D10,2619,0.39308289687556436,0.5106158357771261,0.4442063370580132,0.4049575582445368,0.2822925846657434,0.3326780415430267,0.4078923604840166,0.20135963445893235,0.2696193275931536,0.4095177894166516,0.15972246680519847,0.22981224820736307,0.4103305038829691,0.1340156017282822,0.2020431075688354,False,47.78 hours
Alibaba-NLP/gte-Qwen2-7B-instruct,euclidian,D10,2619,0.39308289687556436,0.5106158357771261,0.4442063370580132,0.4049575582445368,0.2822925846657434,0.3326780415430267,0.4078923604840166,0.20135963445893235,0.2696193275931536,0.4095177894166516,0.15972246680519847,0.22981224820736307,0.4103305038829691,0.1340156017282822,0.2020431075688354,False,47.78 hours
llmrails/ember-v1,cosine,D10,2619,0.38396243453133466,0.4987683284457478,0.4338996887596306,0.4027903196676901,0.2807818204708548,0.33089762611275964,0.40762145566191077,0.2012258999219882,0.2694402578604152,0.4088856781650713,0.15947592716514633,0.2294575214736362,0.4099692974534947,0.13389763024788756,0.2018652527206234,False,2.63 hours
llmrails/ember-v1,euclidian,D10,2619,0.3826530612244898,0.4970674486803519,0.43242002142966474,0.4022033592197941,0.2803726551680725,0.3304154302670623,0.40707964601769914,0.20095843084809986,0.2690821183949383,0.4085696225392812,0.15935265734512027,0.22928015810677274,0.40983384504244175,0.1338533909427396,0.20179855715254388,False,2.63 hours
Salesforce/SFR-Embedding-Mistral,cosine,D10,2619,0.3926765396424056,0.5100879765395895,0.44374712995561,0.40545421708506413,0.2826388014604054,0.33308605341246295,0.40820841610980674,0.2015156580853672,0.2698282422813484,0.409427487809283,0.15968724685661959,0.22976157295968783,0.4103305038829691,0.1340156017282822,0.2020431075688354,False,60.83 hours
Salesforce/SFR-Embedding-Mistral,euclidian,D10,2619,0.39276684124977423,0.5102052785923754,0.4438491759783662,0.40545421708506413,0.2826388014604054,0.33308605341246295,0.40816326530612246,0.20149336899587653,0.269798397325892,0.4095629402203359,0.1597400767794879,0.22983758583120073,0.4101047498645476,0.13394186955303555,0.20193194828870287,False,60.83 hours
